Purchasing Document,Company Code,Purchasing Doc. Type,Deletion indicator,Currency,Exchange Rate
4000000583,1100,ZCAP,,INR,82.1
4000000586,1100,ZCAP,,INR,82.1
4000000587,1100,ZCAP,,,1.0
4000000591,1100,ZCAP,,INR,1.0
4000000599,1100,ZCAP,,INR,82.1
4000000600,1100,ZCAP,,INR,1.0
4000000601,1100,ZCAP,,INR,1.0
4000000602,1100,ZCAP,,INR,1.0
4000000604,1100,ZCAP,,INR,1.0
4000000606,1100,ZCAP,,INR,1.0
4000000608,1100,ZCAP,,INR,1.0
4000000609,1100,ZCAP,,INR,1.0
4000000610,1100,ZCAP,,INR,1.0
4000000618,1100,ZCAP,,INR,1.0
4000000620,1100,ZCAP,,INR,1.0
4000000621,1100,ZCAP,,,1.0
4000000622,1100,ZCAP,,INR,1.0
4000000625,1100,ZCAP,,,80.9
4000000626,1100,ZCAP,,INR,1.0
4000000637,1100,ZCAP,,INR,1.0
4000000643,1100,ZCAP,,INR,1.0
4000000646,1100,ZCAP,,,1.0
4000000648,1100,ZCAP,,INR,1.0
4000000652,1100,ZCAP,,INR,1.0
4000000653,1100,ZCAP,,INR,1.0
4000000654,1100,ZCAP,,INR,1.0
4000000655,1100,ZCAP,,INR,80.3
4000000658,1100,ZCAP,,INR,1.0
4000000660,1100,ZCAP,,INR,1.0
4000000662,1100,ZCAP,,INR,1.0
4000000664,1100,ZCAP,,INR,1.0
4000000665,1100,ZCAP,,INR,1.0
4000000669,1100,ZCAP,,INR,1.0
4000000674,1100,ZCAP,,INR,1.0
4000000675,1100,ZCAP,,INR,80.3
4000000679,1100,ZCAP,,INR,1.0
4000000680,1100,ZCAP,,INR,1.0
4000000681,1100,ZCAP,,INR,1.0
4000000685,1100,ZCAP,,INR,1.0
4000000697,1100,ZCAP,,INR,81.8
4000000702,1100,ZCAP,,INR,1.0
4000000703,1100,ZCAP,,INR,1.0
4000000705,1100,ZCAP,,INR,1.0
4000000709,1100,ZCAP,,INR,1.0
4000000710,1100,ZCAP,,INR,1.0
4000000711,1100,ZCAP,,INR,1.0
4000000712,1100,ZCAP,,INR,1.0
4000000721,1100,ZCAP,,INR,1.0
4000000724,1100,ZCAP,,INR,1.0
4000000726,1100,ZCAP,,INR,1.0
4000000734,1100,ZCAP,,INR,1.0
4000000735,1100,ZCAP,,INR,1.0
4000000737,1100,ZCAP,,INR,1.0
4000000738,1100,ZCAP,,INR,1.0
4000000739,1100,ZCAP,,INR,1.0
4000000740,1100,ZCAP,,INR,1.0
4000000744,1100,ZCAP,,INR,1.0
4000000745,1100,ZCAP,,INR,1.0
4000000746,1100,ZCAP,,INR,1.0
4000000749,1100,ZCAP,,INR,81.8
4000000751,1100,ZCAP,,INR,1.0
4000000753,1100,ZCAP,,INR,1.0
4000000755,1100,ZCAP,,INR,1.0
4000000756,1100,ZCAP,,INR,81.8
4000000757,1100,ZCAP,,INR,1.0
